Module.ID	Module.functional.association.title	Disease.Activity.Up..50.	Disease.Activity.Down..50.	Top.Literature.Lab.Annotations	Top.matched.pathway.in.KEGG	Top.GOTERM.Biological.Processes
M12.1	TBD	MS	Kawasaki, B-Cell Deficiency, Pregnancy, Staph, Burkholderia	Mitochondria Apoptotic/Mitochondria/Cell Respiration		translation
M12.12	TBD	MS, SOJIA, JDM		Peroxides/Oxidative Stress/Superoxide Dismutase	Proteasome	negative regulation of macromolecule metabolic process
M12.14	TBD	SLE	RSV	Intestinal Neoplasms/Colonic Diseases/Colorectal Neoplasms		
M13.15	TBD	Staph		Protein Domains/Protein Structural Elements/Protein Interaction Domains and Motifs	Endocytosis	intracellular signaling cascade
M13.19	TBD	SOJIA	RSV, Transplant	Protein Domains/Protein Structural Elements/Phosphoinositide	Prostate cancer	regulation of transcription
M13.23	TBD		Transplant, Burkholderia	Introns/RNA Splicing/RNA Splicing	Spliceosome	response to heat
M13.24	TBD	MS	Pregnancy	Mutagenesis/Chromosomes, Human/Chromosomes, Mammalian	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	generation of precursor metabolites and energy
M13.25	TBD	SOJIA		Protein Interaction Maps/Lysine Acetyltransferases/Histone Acetyltransferases	RNA degradation	cellular macromolecule catabolic process
M13.26	TBD	RSV, Transplant, Melanoma	HIV	Specialty Uses of Chemicals/Glutathione/Glutathione	Glutathione metabolism	positive regulation of cellular catabolic process
M13.29	TBD	MS	SOJIA, Pregnancy, Burkholderia	Nucleic Acid Hybridization/Paraffin/Breast Cancer		positive regulation of nitrogen compound metabolic process
M13.3	TBD	Staph, Burkholderia, SOJIA, RSV		Arsenicals/Starch/Arsenicals	Dorso-ventral axis formation	hexose metabolic process
M13.31	TBD	MS, SOJIA, JDM		Anti-HIV Agents/Anti-Retroviral Agents/Neoplasms, Vascular Tissue	Leukocyte transendothelial migration	blood vessel morphogenesis
M13.4	TBD	MS	SOJIA, Pregnancy, Staph, Burkholderia	Carcinoma, Hepatocellular/Adenine/Fluorescence Resonance Energy Transfer		RNA processing
M13.5	TBD			beta-Galactosidase/Galactosidases/Cytoplasm	Lysosome	cell division
M13.7	TBD	Burkholderia, SOJIA	Transplant	RNA Interference/Gene Silencing/RNA, Small Interfering	Toll-like receptor signaling pathway	phosphorus metabolic process
M14.1	TBD			Protein Isoforms/Zinc/Zinc		glycerolipid biosynthetic process
M14.10	TBD	MS		Naphthalenes/Catalytic Domain/SH-SY5Y Cells	Purine metabolism	organic alcohol transport
M14.11	TBD			Acids, Carbocyclic/Sesquiterpenes/Cyclohexane	Proteasome	negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle
M14.14	TBD		Pregnancy, Transplant	Cell Extracts/Hot Temperature/HSP70 Heat-Shock Proteins	Spliceosome	mRNA metabolic process
M14.17	TBD		B-Cell Deficiency, Pregnancy, Transplant, Burkholderia	Islands/Ribonucleases/Gene Silencing		
M14.22	TBD	Staph		Giant Cells/Neoplasms, Vascular Tissue/Locomotion	Renal cell carcinoma	protein amino acid phosphorylation
M14.23	TBD	MS, HIV	Staph, Burkholderia	Genetic Phenomena/DNA/Heredity	Purine metabolism	
M14.27	TBD	MS, HIV, SOJIA		Reverse Transcription/Reverse Transcription/Paxillin	Glycolysis / Gluconeogenesis	negative regulation of catalytic activity
M14.29	TBD		Transplant	Genetic Code/Chemical Precipitation/geldanamycin		intracellular transport
M14.38	TBD	Staph	HIV	Schizophrenia/Peptide GPCRs/GPCRs-Other		macromolecular complex assembly
M14.39	TBD	Staph, RSV, TB, Kawasaki	MS	beta-Galactosidase/Galactosidases/S Phase		nucleosome assembly
M14.40	TBD			Succinate Dehydrogenase/Electron Transport Complex II/Cell Respiration		negative regulation of transcription from RNA polymerase II promoter
M14.43	TBD		RSV, Pregnancy, Burkholderia	Agar/Agar/Immunoproliferative Disorders		
M14.45	TBD	MS	Pregnancy, Staph, Burkholderia	Biotransformation/Biotransformation/Amino Acids, Peptides, and Proteins		cell redox homeostasis
M14.59	TBD	Staph	MS, HIV	Thromboplastin/Thromboplastin/Platelet Membrane Glycoproteins		response to wounding
M14.6	TBD		TB	Protein Synthesis Inhibitors/Vero Cells/Glycoside Hydrolases		chromosome condensation
M14.7	TBD	Staph, Burkholderia, SOJIA, RSV, Influenza		Amino Acid Substitution/Splenomegaly/Placental Iron Metabolism		protein import
M14.74	TBD	Staph, Burkholderia, SOJIA, Influenza, TB		phorbol/Phorbol Esters/Phorbol Esters	Fc gamma R-mediated phagocytosis	
M14.9	TBD	Staph		Colorectal Neoplasms/Colonic Diseases/Intestinal Neoplasms	MAPK signaling pathway	response to abiotic stimulus
M15.1	TBD		Burkholderia	Genomic Instability/Genomic Instability/Jurkat Cells	T cell receptor signaling pathway	di-, tri-valent inorganic cation transport
M15.10	TBD			Alternative Splicing/Alternative Splicing/Alternative Splicing		regulation of protein kinase cascade
M15.101	TBD		SOJIA, Staph, Burkholderia	Genetic Phenomena/Heredity/Amino Acids, Peptides, and Proteins		transcription
M15.106	TBD			Buffers/Cell Nucleus/Cystic Fibrosis Transmembrane Conductance Regulator		response to radiation
M15.11	TBD			Starvation/Proteome/TOR Serine-Threonine Kinases		regulation of protein modification process
M15.111	TBD	Staph, Burkholderia		Docosahexaenoic Acids/Docosahexaenoic Acids/Fatty Acids, Omega-3		regulation of transcription from RNA polymerase II promoter
M15.112	TBD			Karyopherins/Nucleocytoplasmic Transport Proteins/Biological Transport, Active		protein import into nucleus, docking
M15.115	TBD		Burkholderia	Receptors, HIV/Receptors, Virus/SMAD2/SMAD3		
M15.118	TBD	RSV		Amino Acids, Peptides, and Proteins/Dimerization/Proteins		
M15.12	TBD	Burkholderia		Adenosine/Adenosine/Adenosine		positive regulation of cell communication
M15.120	TBD		Staph	Amino Acids, Peptides, and Proteins/Proteins/Biotransformation		transcription
M15.124	TBD		RSV, Transplant	Piperidones/Peripheral Nerves/Piperidines		transcription
M15.13	TBD	Staph, Burkholderia		Dimerization/Dimerization/Proto-Oncogene Proteins c-myc	Phosphatidylinositol signaling system	ER to Golgi vesicle-mediated transport
M15.14	TBD	Burkholderia		Phosphatidylcholines/Cell Differentiation/Phosphatidylcholines	Glycosphingolipid biosynthesis	response to methylmercury
M15.17	TBD			Calcium-Binding Proteins/MCF7 Cells/MCF-7 Cells		embryonic skeletal system development
M15.19	TBD			Endoplasmic Reticulum/Reticulum/Protein Folding	Insulin signaling pathway	protein transport
M15.20	TBD			Galactose/Recombinant Fusion Proteins/Proteasome Endopeptidase Complex	Galactose metabolism	cytosol to ER transport
M15.22	TBD		Staph	Hydrocarbons, Cyclic/Family/Biochemical Phenomena		RNA processing
M15.23	TBD	MS	SOJIA, Pregnancy, Burkholderia	Biotransformation/Biotransformation/Cell Survival	Ribosome	nucleotide biosynthetic process
M15.24	TBD	Staph, Burkholderia, SOJIA		Methotrexate/Nucleic Acid Synthesis Inhibitors/Drive	MAPK signaling pathway	phosphorylation
M15.25	TBD			Glutathione Transferase/Alkyl and Aryl Transferases/Glutathione	Glutathione metabolism	
M15.26	TBD	Staph, Burkholderia, SOJIA		Proline/Proline/Hypoxia		leukocyte activation
M15.27	TBD			Basal Transcription Factors/G2/M Checkpoint/MCF-7 Cells	Amino sugar and nucleotide sugar metabolism	carbohydrate biosynthetic process
M15.3	TBD	MS	Burkholderia	Transcriptome/Transcriptome/Plant Structures		oxidation reduction
M15.33	TBD		Pregnancy, Transplant, Staph, Burkholderia	Connective Tissue Diseases/Skin and Connective Tissue Diseases/Biomarkers	DNA replication	
M15.36	TBD	MS, HIV		Biotransformation/Biotransformation/Acids		lipid biosynthetic process
M15.43	TBD	Staph, Burkholderia, SOJIA, Influenza		Amyloidosis/Phototransduction/Tubulin Modulators		cellular macromolecular complex assembly
M15.52	TBD		B-Cell Deficiency, Staph, Burkholderia	Biotransformation/Biotransformation/Amino Acids, Peptides, and Proteins		
